Project_ID,Project_Name,Date,Material_cost,Quantity,Unit_cost,Material_cost,Labour_cost,Equipment_cost,Total_cost,Budget
P001,Building,01-08-2019,Cement,200.00,350.00,70000.00,15000.00,2000.00,87000.00,100000.00
P001,Building,02-08-2019,Steel,2000.00,50.00,100000.00,30000.00,5000.00,135000.00,160000.00
P001,Building,03-08-2019,Sand,200.00,50.00,10000.00,5000.00,1500.00,16500.00,50000.00
P001,Building,04-08-2019,Brick,12000.00,3.00,36000.00,6000.00,3000.00,45000.00,90000.00
P001,Building,05-08-2019,Gravel,500.00,60.00,30000.00,6000.00,3000.00,39000.00,80000.00
P002,Road Project,15-03-2020,Cement,200.00,350.00,70000.00,15000.00,1500.00,86500.00,120000.00
P002,Road Project,19-03-2020,Steel,80.00,700.00,56000.00,30000.00,3000.00,89000.00,140000.00
P002,Road Project,20-03-2020,Sand,300.00,50.00,15000.00,5000.00,1000.00,21000.00,50000.00
P002,Road Project,31-03-2020,Cement,150.00,350.00,52500.00,12000.00,2000.00,66500.00,96000.00
P002,Road Project,02-04-2020,Gravel,400.00,60.00,24000.00,3500.00,3500.00,31000.00,55000.00
P003,Bridge Work,03-06-2020,Cement,250.00,350.00,87500.00,20000.00,10000.00,117500.00,193875.00
P003,Bridge Work,08-06-2020,Steel,150.00,700.00,105000.00,40000.00,15000.00,160000.00,264000.00
P003,Bridge Work,19-06-2020,Sand,400.00,50.00,20000.00,5000.00,2500.00,27500.00,45375.00
P003,Bridge Work,25-06-2020,Steel,120.00,700.00,84000.00,25000.00,5000.00,114000.00,188100.00
P003,Bridge Work,30-06-2020,Gravel,300.00,60.00,18000.00,3000.00,1000.00,22000.00,36300.00
P004,Building,01-02-2021,Cement,250.00,355.00,88750.00,12000.00,2350.00,103100.00,170115.00
P004,Building,05-02-2021,Steel,100.00,720.00,72000.00,34000.00,2000.00,108000.00,178200.00
P004,Building,06-02-2021,Sand,400.00,42.00,16800.00,5000.00,1600.00,23400.00,38610.00
P004,Building,12-02-2021,Brick,15000.00,3.20,48000.00,6000.00,2100.00,56100.00,92565.00
P004,Building,20-02-2021,Gravel,500.00,60.00,30000.00,3000.00,1300.00,34300.00,56595.00
P005,Drain Project,12-08-2021,Cement,120.00,350.00,42000.00,5000.00,1000.00,48000.00,79200.00
P005,Drain Project,16-08-2021,Steel,30.00,680.00,20400.00,6000.00,900.00,27300.00,45045.00
P005,Drain Project,20-08-2021,Sand,300.00,50.00,15000.00,2000.00,300.00,17300.00,28545.00
P005,Drain Project,29-08-2021,Steel,15.00,680.00,10200.00,10000.00,1000.00,21200.00,34980.00
P005,Drain Project,02-09-2021,Gravel,400.00,60.00,24000.00,6000.00,2000.00,32000.00,52800.00
P006,Apartment,06-01-2022,Cement,400.00,350.00,140000.00,15000.00,1900.00,156900.00,258885.00
P006,Apartment,07-01-2022,Steel,200.00,520.00,104000.00,26000.00,3200.00,133200.00,219780.00
P006,Apartment,08-01-2022,Sand,400.00,50.00,20000.00,1300.00,320.00,21620.00,35673.00
P006,Apartment,09-01-2022,Steel,120.00,520.00,62400.00,7000.00,690.00,70090.00,115648.50
P006,Apartment,10-01-2022,Gravel,600.00,60.00,36000.00,3600.00,750.00,40350.00,66577.50
P007,Road Project,12-09-2022,Cement,150.00,350.00,52500.00,4200.00,600.00,57300.00,94545.00
P007,Road Project,15-09-2022,Steel,120.00,52.00,6240.00,1500.00,700.00,8440.00,13926.00
P007,Road Project,16-09-2022,Sand,430.00,50.00,21500.00,2000.00,1000.00,24500.00,40425.00
P007,Road Project,20-09-2022,Cement,50.00,350.00,17500.00,1700.00,500.00,19700.00,32505.00
P007,Road Project,22-09-2022,Gravel,450.00,60.00,27000.00,3500.00,500.00,31000.00,51150.00
P008,Building,16-12-2022,Cement,300.00,350.00,105000.00,15000.00,1500.00,121500.00,200475.00
P008,Building,20-12-2022,Steel,500.00,62.00,31000.00,2500.00,500.00,34000.00,56100.00
P008,Building,26-12-2022,Sand,600.00,50.00,30000.00,1900.00,500.00,32400.00,53460.00
P008,Building,02-01-2023,Steel,120.00,550.00,66000.00,3000.00,500.00,69500.00,114675.00
P008,Building,04-01-2023,Gravel,600.00,60.00,36000.00,1800.00,600.00,38400.00,63360.00
P009,Office Building,16-08-2023,Cement,260.00,350.00,91000.00,30000.00,1300.00,122300.00,201795.00
P009,Office Building,19-08-2023,Steel,300.00,550.00,165000.00,26000.00,2000.00,193000.00,318450.00
P009,Office Building,19-08-2023,Sand,500.00,53.00,26500.00,1800.00,300.00,28600.00,47190.00
P009,Office Building,23-08-2023,Steel,160.00,550.00,88000.00,6000.00,1200.00,95200.00,157080.00
P009,Office Building,25-08-2023,Gravel,600.00,60.00,36000.00,3000.00,500.00,39500.00,65175.00
P010,Community Hall,29-12-2023,Cement,310.00,350.00,108500.00,18000.00,1200.00,127700.00,210705.00
P010,Community Hall,02-01-2024,Steel,250.00,550.00,137500.00,24000.00,1000.00,162500.00,268125.00
P010,Community Hall,03-01-2024,Sand,500.00,50.00,25000.00,1923.00,500.00,27423.00,45247.95
P010,Community Hall,05-01-2024,Steel,140.00,550.00,77000.00,18022.00,1200.00,96222.00,158766.30
P010,Community Hall,08-01-2024,Gravel,600.00,60.00,36000.00,4000.00,600.00,40600.00,66990.00
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
